,Year,LocationAbbr,HealthTopic,PolicyTopic,Setting,NumPolicies
38,2001,CA,Obesity,Body Mass Index (BMI),Community,9
39,2001,CA,Obesity,Menu Labeling,Community,9
40,2001,CA,Obesity,Appropriations,Community,9
41,2001,CA,Obesity,Appropriations,Community,9
42,2001,CA,Obesity,Appropriations,Community,9
43,2001,CA,Obesity,Access to Drinking Water,Community,9
44,2001,CA,Physical Activity,Pedestrians/Walking,Community,17
45,2001,CA,Physical Activity,Media Campaigns,Community,17
46,2001,CA,Physical Activity,Built Environment and Street-Scale Design,Community,17
47,2001,CA,Physical Activity,Initiatives and Programs,School/After School,17
48,2001,CA,Physical Activity,"Parks, Recreation and Trails",Community,17
49,2001,CA,Physical Activity,Bicycling,Community,17
50,2001,CA,Physical Activity,Disabilities,School/After School,17
51,2001,CA,Physical Activity,Initiatives and Programs,Community,17
52,2001,CA,Physical Activity,Public Safety,Community,17
53,2001,CA,Physical Activity,Public Transportation,Community,17
54,2001,CA,Physical Activity,Physical Education Requirements,School/After School,17
55,2001,CA,Physical Activity,Pedestrians/Walking,Community,17
56,2001,CA,Physical Activity,"Parks, Recreation and Trails",Community,17
57,2001,CA,Physical Activity,Disabilities,Community,17
58,2001,CA,Physical Activity,Initiatives and Programs,Community,17
59,2001,CA,Physical Activity,"Parks, Recreation and Trails",School/After School,17
60,2001,CA,Physical Activity,Bicycling,Community,17
61,2001,CT,Nutrition,Farm Direct Foods,Community,10
62,2001,CT,Nutrition,Appropriations,Community,10
63,2001,CT,Nutrition,Incentives,Community,10
64,2001,CT,Nutrition,Farmers Markets,Community,10
65,2001,CT,Nutrition,Food Security,Community,10
66,2001,CT,Nutrition,Fruits and Vegetables,Community,10
67,2001,CT,Nutrition,Access to Healthy Foods,Community,10
68,2001,CT,Nutrition,Appropriations,Community,10
69,2001,CT,Nutrition,Disparities/Equity,Community,10
70,2001,CT,Nutrition,Food Assistance Programs,Community,10
71,2001,DE,Nutrition,Access to Healthy Foods,School/After School,3
72,2001,DE,Nutrition,School Nutrition,School/After School,3
73,2001,DE,Nutrition,Appropriations,School/After School,3
74,2001,DE,Obesity,Appropriations,School/After School,1
75,2001,GA,Nutrition,Agriculture and Farming,Community,2
76,2001,GA,Nutrition,Farm Direct Foods,Community,2
77,2001,GA,Physical Activity,Initiatives and Programs,School/After School,3
78,2001,GA,Physical Activity,Task Forces/Councils,School/After School,3
79,2001,GA,Physical Activity,Physical Activity Requirements,School/After School,3
80,2001,HI,Nutrition,Vending,School/After School,5
81,2001,HI,Nutrition,Fruits and Vegetables,School/After School,5
82,2001,HI,Nutrition,Access to Healthy Foods,School/After School,5
83,2001,HI,Nutrition,Initiatives and Programs,School/After School,5
84,2001,HI,Nutrition,Vending,Community,5
85,2001,HI,Obesity,Initiatives and Programs,School/After School,2
86,2001,HI,Obesity,Appropriations,Community,2
87,2001,HI,Physical Activity,Physical Education Requirements,School/After School,5
88,2001,HI,Physical Activity,Pedestrians/Walking,Community,5
89,2001,HI,Physical Activity,Public Safety,Community,5
90,2001,HI,Physical Activity,Initiatives and Programs,School/After School,5
91,2001,HI,Physical Activity,Liability and Indemnity,Community,5
92,2001,IA,Nutrition,Correctional Facilities Farms Programs,Community,1
93,2001,IL,Nutrition,Incentives,Community,8
94,2001,IL,Nutrition,Access to Healthy Foods,Community,8
95,2001,IL,Nutrition,Appropriations,Community,8
96,2001,IL,Nutrition,Farmers Markets,Community,8
97,2001,IL,Nutrition,Food Assistance Programs,Community,8
98,2001,IL,Nutrition,Disparities/Equity,Community,8
99,2001,IL,Nutrition,Food Security,Community,8
100,2001,IL,Nutrition,Farm Direct Foods,Community,8
101,2001,LA,Nutrition,Incentives,Community,2
102,2001,LA,Nutrition,Breastfeeding,Community,2
103,2001,LA,Obesity,Task Forces/Councils,Community,1
104,2001,MA,Nutrition,Correctional Facilities Farms Programs,Community,2
105,2001,MA,Nutrition,Appropriations,Community,2
106,2001,MA,Obesity,Appropriations,Community,1
107,2001,MA,Physical Activity,Pedestrians/Walking,Community,1
108,2001,MD,Nutrition,Food Assistance Programs,Community,1
109,2001,MD,Obesity,Health Insurance Coverage,Community,2
110,2001,MD,Obesity,Health Insurance Coverage,Medical and/or Hospital,2
111,2001,ME,Nutrition,Medical Care,Community,10
112,2001,ME,Nutrition,Farm Direct Foods,School/After School,10
113,2001,ME,Nutrition,Appropriations,Community,10
114,2001,ME,Nutrition,Correctional Facilities Farms Programs,Community,10
115,2001,ME,Nutrition,Agriculture and Farming,School/After School,10
116,2001,ME,Nutrition,Vending,Community,10
117,2001,ME,Nutrition,Access to Healthy Foods,School/After School,10
118,2001,ME,Nutrition,Fruits and Vegetables,School/After School,10
119,2001,ME,Nutrition,School Nutrition,School/After School,10
120,2001,ME,Nutrition,Appropriations,School/After School,10
121,2001,ME,Obesity,Appropriations,Community,5
122,2001,ME,Obesity,Appropriations,School/After School,5
123,2001,ME,Obesity,Body Mass Index (BMI),Community,5
124,2001,ME,Obesity,Food Restrictions,School/After School,5
125,2001,ME,Obesity,Appropriations,Community,5
126,2001,ME,Physical Activity,Bicycling,Community,6
127,2001,ME,Physical Activity,Initiatives and Programs,Community,6
128,2001,ME,Physical Activity,Built Environment and Street-Scale Design,Community,6
129,2001,ME,Physical Activity,Liability and Indemnity,Community,6
130,2001,ME,Physical Activity,Public Transportation,Community,6
131,2001,ME,Physical Activity,Bicycling,Community,6
132,2001,MN,Nutrition,Medical Care,Community,1
133,2001,MN,Physical Activity,Bicycling,Community,1
134,2001,MS,Nutrition,Incentives,Community,1
135,2001,MS,Obesity,Task Forces/Councils,Community,1
136,2001,MT,Nutrition,Appropriations,School/After School,4
137,2001,MT,Nutrition,School Nutrition,School/After School,4
138,2001,MT,Nutrition,Medical Care,Community,4
139,2001,MT,Nutrition,Agriculture and Farming,School/After School,4
140,2001,MT,Obesity,Appropriations,School/After School,1
141,2001,MT,Physical Activity,Bicycling,Community,1
142,2001,NC,Nutrition,Medical Care,Community,1
143,2001,NC,Obesity,Appropriations,Community,1
144,2001,NC,Physical Activity,Bicycling,Community,2
145,2001,NC,Physical Activity,Public Safety,Community,2
146,2001,NH,Nutrition,Point of Purchase Promotion,Community,1
147,2001,NH,Obesity,Appropriations,Community,1
148,2001,NH,Physical Activity,Pedestrians/Walking,Community,4
149,2001,NH,Physical Activity,Disabilities,Community,4
150,2001,NH,Physical Activity,Task Forces/Councils,Community,4
151,2001,NH,Physical Activity,Built Environment and Street-Scale Design,Community,4
152,2001,NY,Nutrition,Farmers Markets,Community,30
153,2001,NY,Nutrition,Disparities/Equity,Community,30
154,2001,NY,Nutrition,Food Assistance Programs,Community,30
155,2001,NY,Nutrition,Farm Direct Foods,Community,30
156,2001,NY,Nutrition,Food Assistance Programs,Community,30
157,2001,NY,Nutrition,Access to Healthy Foods,Community,30
158,2001,NY,Nutrition,Food Security,Community,30
159,2001,NY,Nutrition,Disparities/Equity,Community,30
160,2001,NY,Nutrition,Appropriations,Community,30
161,2001,NY,Nutrition,Agriculture and Farming,Community,30
162,2001,NY,Nutrition,Farm Direct Foods,Community,30
163,2001,NY,Nutrition,Disparities/Equity,Community,30
164,2001,NY,Nutrition,Agriculture and Farming,Community,30
165,2001,NY,Nutrition,Food Security,Community,30
166,2001,NY,Nutrition,Agriculture and Farming,Community,30
167,2001,NY,Nutrition,Farmers Markets,Community,30
168,2001,NY,Nutrition,Access to Healthy Foods,Community,30
169,2001,NY,Nutrition,Food Security,Community,30
170,2001,NY,Nutrition,Appropriations,Community,30
171,2001,NY,Nutrition,Farm Direct Foods,Community,30
172,2001,NY,Nutrition,Incentives,Community,30
173,2001,NY,Nutrition,Medical Care,Community,30
174,2001,NY,Nutrition,Agriculture and Farming,Community,30
175,2001,NY,Nutrition,Farmers Markets,Community,30
176,2001,NY,Nutrition,Farmers Markets,Community,30
177,2001,NY,Nutrition,Access to Healthy Foods,Community,30
178,2001,NY,Nutrition,Medical Care,Community,30
179,2001,NY,Nutrition,Appropriations,Community,30
180,2001,NY,Nutrition,Appropriations,Community,30
181,2001,NY,Nutrition,Food Assistance Programs,Community,30
182,2001,NY,Obesity,Appropriations,Community,5
183,2001,NY,Obesity,Appropriations,Community,5
184,2001,NY,Obesity,Appropriations,Community,5
185,2001,NY,Obesity,Task Forces/Councils,Community,5
186,2001,NY,Obesity,Appropriations,Community,5
187,2001,NY,Physical Activity,Built Environment and Street-Scale Design,Community,8
188,2001,NY,Physical Activity,Public Safety,Community,8
189,2001,NY,Physical Activity,Bicycling,Community,8
190,2001,NY,Physical Activity,Public Safety,Community,8
191,2001,NY,Physical Activity,Pedestrians/Walking,Community,8
192,2001,NY,Physical Activity,Bicycling,Community,8
193,2001,NY,Physical Activity,Pedestrians/Walking,Community,8
194,2001,NY,Physical Activity,Built Environment and Street-Scale Design,Community,8
195,2001,OH,Nutrition,Medical Care,Community,2
196,2001,OH,Nutrition,Vending,Community,2
197,2001,OH,Physical Activity,Bicycling,Community,2
198,2001,OH,Physical Activity,Liability and Indemnity,Community,2
199,2001,OK,Nutrition,Disparities/Equity,School/After School,11
200,2001,OK,Nutrition,Incentives,School/After School,11
201,2001,OK,Nutrition,Task Forces/Councils,School/After School,11
202,2001,OK,Nutrition,Vending,School/After School,11
203,2001,OK,Nutrition,Access to Healthy Foods,School/After School,11
204,2001,OK,Nutrition,Incentives,Community,11
205,2001,OK,Nutrition,Point of Purchase Promotion,Community,11
206,2001,OK,Nutrition,Correctional Facilities Farms Programs,School/After School,11
207,2001,OK,Nutrition,Appropriations,School/After School,11
208,2001,OK,Nutrition,Incentives,School/After School,11
209,2001,OK,Nutrition,School Nutrition,School/After School,11
210,2001,OK,Obesity,Appropriations,Community,6
211,2001,OK,Obesity,Task Forces/Councils,Community,6
212,2001,OK,Obesity,Appropriations,School/After School,6
213,2001,OK,Obesity,Task Forces/Councils,School/After School,6
214,2001,OK,Obesity,Disparities/Equity,School/After School,6
215,2001,OK,Obesity,Task Forces/Councils,School/After School,6
216,2001,OK,Physical Activity,Built Environment and Street-Scale Design,Community,2
217,2001,OK,Physical Activity,Disabilities,Community,2
218,2001,PA,Nutrition,Appropriations,Community,7
219,2001,PA,Nutrition,Food Security,Community,7
220,2001,PA,Nutrition,Food Assistance Programs,Community,7
221,2001,PA,Nutrition,Farm Direct Foods,Community,7
222,2001,PA,Nutrition,Farmers Markets,Community,7
223,2001,PA,Nutrition,Agriculture and Farming,Community,7
224,2001,PA,Nutrition,Access to Healthy Foods,Community,7
225,2001,PA,Obesity,Appropriations,Community,2
226,2001,PA,Obesity,Appropriations,Community,2
227,2001,PA,Physical Activity,Bicycling,Community,6
228,2001,PA,Physical Activity,Pedestrians/Walking,Community,6
229,2001,PA,Physical Activity,Initiatives and Programs,Community,6
230,2001,PA,Physical Activity,Task Forces/Councils,Community,6
231,2001,PA,Physical Activity,Pedestrians/Walking,Community,6
232,2001,PA,Physical Activity,Built Environment and Street-Scale Design,Community,6
233,2001,RI,Nutrition,Medical Care,Community,5
234,2001,RI,Nutrition,Medical Care,Community,5
235,2001,RI,Nutrition,Point of Purchase Promotion,Community,5
236,2001,RI,Nutrition,Point of Purchase Promotion,Community,5
237,2001,RI,Nutrition,Incentives,Community,5
238,2001,RI,Obesity,Appropriations,Community,4
239,2001,RI,Obesity,Appropriations,Community,4
240,2001,RI,Obesity,Appropriations,Community,4
241,2001,RI,Obesity,Task Forces/Councils,Community,4
242,2001,RI,Physical Activity,Bicycling,Community,9
243,2001,RI,Physical Activity,Built Environment and Street-Scale Design,Community,9
244,2001,RI,Physical Activity,Built Environment and Street-Scale Design,Community,9
245,2001,RI,Physical Activity,Disabilities,Community,9
246,2001,RI,Physical Activity,Pedestrians/Walking,Community,9
247,2001,RI,Physical Activity,Pedestrians/Walking,Community,9
248,2001,RI,Physical Activity,Bicycling,Community,9
249,2001,RI,Physical Activity,Disabilities,Community,9
250,2001,RI,Physical Activity,Public Safety,Community,9
251,2001,TN,Nutrition,School Nutrition,School/After School,4
252,2001,TN,Nutrition,Incentives,Community,4
253,2001,TN,Nutrition,Access to Healthy Foods,School/After School,4
254,2001,TN,Nutrition,Appropriations,School/After School,4
255,2001,TN,Obesity,Appropriations,School/After School,2
256,2001,TN,Obesity,Task Forces/Councils,Community,2
257,2001,TX,Nutrition,Access to Healthy Foods,School/After School,8
258,2001,TX,Nutrition,Appropriations,Community,8
259,2001,TX,Nutrition,Food Assistance Programs,Community,8
260,2001,TX,Nutrition,Appropriations,Community,8
261,2001,TX,Nutrition,Task Forces/Councils,Community,8
262,2001,TX,Nutrition,School Nutrition,School/After School,8
263,2001,TX,Nutrition,Task Forces/Councils,Community,8
264,2001,TX,Nutrition,Appropriations,School/After School,8
265,2001,TX,Obesity,Appropriations,Community,3
266,2001,TX,Obesity,Appropriations,School/After School,3
267,2001,TX,Obesity,Initiatives and Programs,School/After School,3
268,2001,TX,Physical Activity,Physical Activity Requirements,School/After School,2
269,2001,TX,Physical Activity,Initiatives and Programs,School/After School,2
270,2001,UT,Nutrition,Initiatives and Programs,School/After School,2
271,2001,UT,Nutrition,School Nutrition,School/After School,2
272,2001,UT,Physical Activity,Physical Activity Requirements,School/After School,2
273,2001,UT,Physical Activity,Initiatives and Programs,School/After School,2
274,2001,VT,Nutrition,Appropriations,Community,5
275,2001,VT,Nutrition,Medical Care,Community,5
276,2001,VT,Nutrition,Liability and Indemnity,Community,5
277,2001,VT,Nutrition,Task Forces/Councils,Community,5
278,2001,VT,Nutrition,Incentives,Community,5
279,2001,VT,Obesity,Body Mass Index (BMI),Community,3
280,2001,VT,Obesity,Appropriations,Community,3
281,2001,VT,Obesity,Task Forces/Councils,Community,3
282,2001,VT,Physical Activity,Appropriations,Community,4
283,2001,VT,Physical Activity,Public Transportation,Community,4
284,2001,VT,Physical Activity,Pedestrians/Walking,Community,4
285,2001,VT,Physical Activity,Bicycling,Community,4
286,2001,WA,Nutrition,Appropriations,Community,8
287,2001,WA,Nutrition,Medical Care,Community,8
288,2001,WA,Nutrition,Farm Direct Foods,Community,8
289,2001,WA,Nutrition,Agriculture and Farming,Community,8
290,2001,WA,Nutrition,Liability and Indemnity,Community,8
291,2001,WA,Nutrition,Fruits and Vegetables,Community,8
292,2001,WA,Nutrition,Breastfeeding,Work Place,8
293,2001,WA,Nutrition,Breastfeeding,Community,8
294,2001,WA,Obesity,Body Mass Index (BMI),Community,5
295,2001,WA,Obesity,Appropriations,Community,5
296,2001,WA,Obesity,Appropriations,Community,5
297,2001,WA,Obesity,Body Mass Index (BMI),Community,5
298,2001,WA,Obesity,Appropriations,Community,5
299,2001,WA,Physical Activity,Built Environment and Street-Scale Design,Community,7
300,2001,WA,Physical Activity,Public Transportation,Community,7
301,2001,WA,Physical Activity,Bicycling,Community,7
302,2001,WA,Physical Activity,Public Transportation,Community,7
303,2001,WA,Physical Activity,Public Safety,Community,7
304,2001,WA,Physical Activity,Pedestrians/Walking,Community,7
305,2001,WA,Physical Activity,Appropriations,Community,7
306,2002,AL,Nutrition,Agriculture and Farming,Community,8
307,2002,AL,Nutrition,Appropriations,Community,8
308,2002,AL,Nutrition,Farmers Markets,Community,8
309,2002,AL,Nutrition,Access to Healthy Foods,Community,8
310,2002,AL,Nutrition,Disparities/Equity,Community,8
311,2002,AL,Nutrition,Food Assistance Programs,Community,8
312,2002,AL,Nutrition,Farm Direct Foods,Community,8
313,2002,AL,Nutrition,Food Security,Community,8
314,2002,CA,Obesity,Appropriations,Community,1
315,2002,CA,Physical Activity,Physical Education Requirements,School/After School,7
316,2002,CA,Physical Activity,Disabilities,Community,7
317,2002,CA,Physical Activity,Physical Activity Requirements,School/After School,7
318,2002,CA,Physical Activity,Physical Education Requirements,School/After School,7
319,2002,CA,Physical Activity,Public Safety,Community,7
320,2002,CA,Physical Activity,Pedestrians/Walking,Community,7
321,2002,CA,Physical Activity,Bicycling,Community,7
322,2002,CO,Nutrition,Farmers Markets,Community,5
323,2002,CO,Nutrition,Appropriations,School/After School,5
324,2002,CO,Nutrition,School Nutrition,School/After School,5
325,2002,CO,Nutrition,Appropriations,Community,5
326,2002,CO,Nutrition,Food Assistance Programs,Community,5
327,2002,CO,Obesity,Appropriations,Community,1
328,2002,CO,Physical Activity,Initiatives and Programs,Community,1
329,2002,CT,Obesity,Appropriations,Community,2
330,2002,CT,Obesity,Body Mass Index (BMI),Community,2
331,2002,CT,Physical Activity,Public Transportation,Community,1
332,2002,FL,Nutrition,Appropriations,Community,3
333,2002,FL,Nutrition,Incentives,Community,3
334,2002,FL,Nutrition,Farmers Markets,Community,3
335,2002,FL,Physical Activity,Initiatives and Programs,Community,19
336,2002,FL,Physical Activity,Bicycling,Community,19
337,2002,FL,Physical Activity,Pedestrians/Walking,School/After School,19
338,2002,FL,Physical Activity,Physical Education Requirements,School/After School,19
339,2002,FL,Physical Activity,Pedestrians/Walking,School/After School,19
340,2002,FL,Physical Activity,School Siting,School/After School,19
341,2002,FL,Physical Activity,Bicycling,School/After School,19
342,2002,FL,Physical Activity,Safe Routes to Schools,Community,19
343,2002,FL,Physical Activity,School Siting,Community,19
344,2002,FL,Physical Activity,Pedestrians/Walking,Community,19
345,2002,FL,Physical Activity,Built Environment and Street-Scale Design,School/After School,19
346,2002,FL,Physical Activity,Pedestrians/Walking,Community,19
347,2002,FL,Physical Activity,Bicycling,School/After School,19
348,2002,FL,Physical Activity,Initiatives and Programs,School/After School,19
349,2002,FL,Physical Activity,Built Environment and Street-Scale Design,School/After School,19
350,2002,FL,Physical Activity,Safe Routes to Schools,School/After School,19
351,2002,FL,Physical Activity,Built Environment and Street-Scale Design,Community,19
352,2002,FL,Physical Activity,Bicycling,Community,19
353,2002,FL,Physical Activity,Built Environment and Street-Scale Design,Community,19
354,2002,ID,Nutrition,Point of Purchase Promotion,Community,3
355,2002,ID,Nutrition,Vending,Community,3
356,2002,ID,Nutrition,Medical Care,Community,3
357,2002,ID,Physical Activity,Disabilities,Community,3
358,2002,ID,Physical Activity,Liability and Indemnity,Community,3
359,2002,ID,Physical Activity,Bicycling,Community,3
360,2002,LA,Nutrition,Fruits and Vegetables,Community,12
361,2002,LA,Nutrition,Fruits and Vegetables,Community,12
362,2002,LA,Nutrition,Food Assistance Programs,Community,12
363,2002,LA,Nutrition,Food Security,Community,12
364,2002,LA,Nutrition,Farmers Markets,Community,12
365,2002,LA,Nutrition,Disparities/Equity,Community,12
366,2002,LA,Nutrition,Farm Direct Foods,Community,12
367,2002,LA,Nutrition,Agriculture and Farming,Community,12
368,2002,LA,Nutrition,Food Assistance Programs,Community,12
369,2002,LA,Nutrition,Access to Healthy Foods,Community,12
370,2002,LA,Nutrition,Appropriations,Community,12
371,2002,LA,Nutrition,Appropriations,Community,12
372,2002,LA,Obesity,Appropriations,Community,1
373,2002,LA,Physical Activity,Initiatives and Programs,Community,2
374,2002,LA,Physical Activity,Appropriations,Community,2
375,2002,MA,Nutrition,Initiatives and Programs,Community,2
376,2002,MA,Nutrition,Appropriations,Community,2
377,2002,MA,Obesity,Appropriations,Community,2
378,2002,MA,Obesity,Initiatives and Programs,Community,2
379,2002,MA,Physical Activity,Initiatives and Programs,Community,6
380,2002,MA,Physical Activity,Built Environment and Street-Scale Design,Community,6
381,2002,MA,Physical Activity,Appropriations,Community,6
382,2002,MA,Physical Activity,Safe Routes to Schools,Community,6
383,2002,MA,Physical Activity,Appropriations,Community,6
384,2002,MA,Physical Activity,Initiatives and Programs,Community,6
385,2002,MD,Nutrition,Medical Care,Community,4
386,2002,MD,Nutrition,Appropriations,School/After School,4
387,2002,MD,Nutrition,Point of Purchase Promotion,Community,4
388,2002,MD,Nutrition,School Nutrition,School/After School,4
389,2002,MD,Obesity,Appropriations,Community,2
390,2002,MD,Obesity,Appropriations,Community,2
391,2002,MD,Physical Activity,Built Environment and Street-Scale Design,Community,4
392,2002,MD,Physical Activity,Disabilities,Community,4
393,2002,MD,Physical Activity,Bicycling,Community,4
394,2002,MD,Physical Activity,Pedestrians/Walking,Community,4
395,2002,MS,Obesity,Appropriations,School/After School,1
396,2002,MS,Physical Activity,Physical Education Requirements,School/After School,1
397,2002,NH,Physical Activity,Bicycling,Community,3
398,2002,NH,Physical Activity,Access to Recreational Opportunities,Community,3
399,2002,NH,Physical Activity,Public Transportation,Community,3
400,2002,NJ,Nutrition,School Nutrition,School/After School,11
401,2002,NJ,Nutrition,Incentives,School/After School,11
402,2002,NJ,Nutrition,Farm Direct Foods,Community,11
403,2002,NJ,Nutrition,Food Assistance Programs,Community,11
404,2002,NJ,Nutrition,Appropriations,School/After School,11
405,2002,NJ,Nutrition,Access to Healthy Foods,Community,11
406,2002,NJ,Nutrition,Farmers Markets,Community,11
407,2002,NJ,Nutrition,Incentives,Community,11
408,2002,NJ,Nutrition,Agriculture and Farming,Community,11
409,2002,NJ,Nutrition,Disparities/Equity,Community,11
410,2002,NJ,Nutrition,Appropriations,Community,11
411,2002,NJ,Obesity,Task Forces/Councils,Community,3
412,2002,NJ,Obesity,Task Forces/Councils,School/After School,3
413,2002,NJ,Obesity,Appropriations,Community,3
414,2002,NJ,Physical Activity,"Parks, Recreation and Trails",Community,1
415,2002,NM,Obesity,Appropriations,School/After School,1
416,2002,NM,Physical Activity,Physical Education Requirements,School/After School,2
417,2002,NM,Physical Activity,Task Forces/Councils,School/After School,2
418,2002,NY,Nutrition,Farm Direct Foods,Community,20
419,2002,NY,Nutrition,Disparities/Equity,Community,20
420,2002,NY,Nutrition,Food Assistance Programs,Community,20
421,2002,NY,Nutrition,Farmers Markets,Community,20
422,2002,NY,Nutrition,Initiatives and Programs,School/After School,20
423,2002,NY,Nutrition,Appropriations,Community,20
424,2002,NY,Nutrition,Access to Healthy Foods,Community,20
425,2002,NY,Nutrition,Farm Direct Foods,Community,20
426,2002,NY,Nutrition,Food Security,Community,20
427,2002,NY,Nutrition,Agriculture and Farming,Community,20
428,2002,NY,Nutrition,Appropriations,Community,20
429,2002,NY,Nutrition,Food Assistance Programs,Community,20
430,2002,NY,Nutrition,Access to Healthy Foods,Community,20
431,2002,NY,Nutrition,Farmers Markets,Community,20
432,2002,NY,Nutrition,Farm Direct Foods,School/After School,20
433,2002,NY,Nutrition,Agriculture and Farming,Community,20
434,2002,NY,Nutrition,Agriculture and Farming,School/After School,20
435,2002,NY,Nutrition,Disparities/Equity,Community,20
436,2002,NY,Nutrition,Food Security,Community,20
437,2002,NY,Nutrition,Farmers Markets,School/After School,20
438,2002,NY,Obesity,Appropriations,Community,1
439,2002,NY,Physical Activity,Public Safety,Community,1
440,2002,PA,Physical Activity,Initiatives and Programs,Community,2
441,2002,PA,Physical Activity,Bicycling,Community,2
442,2002,RI,Obesity,Appropriations,Community,1
443,2002,RI,Physical Activity,Public Safety,Community,1
444,2002,SC,Nutrition,Incentives,Community,3
445,2002,SC,Nutrition,Farmers Markets,Community,3
446,2002,SC,Nutrition,Task Forces/Councils,Community,3
447,2002,SC,Physical Activity,Built Environment and Street-Scale Design,Community,2
448,2002,SC,Physical Activity,Bicycling,Community,2
449,2002,SD,Nutrition,Point of Purchase Promotion,Community,1
450,2002,SD,Obesity,Appropriations,Community,1
451,2002,SD,Physical Activity,Disabilities,Community,2
452,2002,SD,Physical Activity,Pedestrians/Walking,Community,2
453,2002,UT,Nutrition,Farm Direct Foods,Community,3
454,2002,UT,Nutrition,Agriculture and Farming,Community,3
455,2002,UT,Nutrition,Task Forces/Councils,Community,3
456,2002,VA,Nutrition,Medical Care,Community,4
457,2002,VA,Nutrition,Food Assistance Programs,Community,4
458,2002,VA,Nutrition,Incentives,Community,4
459,2002,VA,Nutrition,Medical Care,Community,4
460,2002,VA,Obesity,Appropriations,Community,8
461,2002,VA,Obesity,Sugar Sweetened Beverages,Community,8
462,2002,VA,Obesity,Appropriations,School/After School,8
463,2002,VA,Obesity,Appropriations,Community,8
464,2002,VA,Obesity,Appropriations,Community,8
465,2002,VA,Obesity,Appropriations,Community,8
466,2002,VA,Obesity,Health Insurance Coverage,Community,8
467,2002,VA,Obesity,Appropriations,Community,8
468,2002,VA,Physical Activity,Bicycling,Community,13
469,2002,VA,Physical Activity,Pedestrians/Walking,Community,13
470,2002,VA,Physical Activity,Pedestrians/Walking,Community,13
471,2002,VA,Physical Activity,Bicycling,Community,13
472,2002,VA,Physical Activity,Pedestrians/Walking,School/After School,13
473,2002,VA,Physical Activity,Task Forces/Councils,Community,13
474,2002,VA,Physical Activity,Pedestrians/Walking,Community,13
475,2002,VA,Physical Activity,Task Forces/Councils,School/After School,13
476,2002,VA,Physical Activity,School Siting,School/After School,13
477,2002,VA,Physical Activity,"Parks, Recreation and Trails",Community,13
478,2002,VA,Physical Activity,Built Environment and Street-Scale Design,Community,13
479,2002,VA,Physical Activity,Pedestrians/Walking,Community,13
480,2002,VA,Physical Activity,School Siting,Community,13
481,2002,WV,Nutrition,Point of Purchase Promotion,Community,1
482,2002,WV,Obesity,Appropriations,Community,1
483,2002,WV,Physical Activity,Pedestrians/Walking,Community,3
484,2002,WV,Physical Activity,Disabilities,Community,3
485,2002,WV,Physical Activity,Built Environment and Street-Scale Design,Community,3
486,2003,AK,Nutrition,Appropriations,Community,3
487,2003,AK,Nutrition,Correctional Facilities Farms Programs,Community,3
488,2003,AK,Nutrition,Medical Care,Community,3
489,2003,AK,Obesity,Appropriations,Community,1
490,2003,AK,Physical Activity,Public Safety,Community,2
491,2003,AK,Physical Activity,Bicycling,Community,2
492,2003,AL,Nutrition,Agriculture and Farming,Community,1
493,2003,AL,Physical Activity,Task Forces/Councils,Community,2
