Year,LocationAbbr,LocationDesc,Topic,Question,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,Sample_Size
2011,AR,Arkansas,Obesity,% of adults aged >= 18 years with obesity,28.8,30.9,33.1,"4,527"
2011,AR,Arkansas,Obesity,% of adults aged >= 18 years with an overweight classification,31.8,33.9,36.2,"4,527"
2011,AR,Arkansas,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),43.3,45.7,48.1,"4,268"
2011,AR,Arkansas,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,22.6,24.7,26.9,"4,397"
2011,AR,Arkansas,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,14.8,16.7,18.8,"4,220"
2011,AR,Arkansas,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),25.7,27.8,30.1,"4,239"
2011,AR,Arkansas,Physical Activity,% of adults with no leisure-time physical activity,28.9,30.9,33.0,"4,449"
2011,AZ,Arizona,Obesity,% of adults aged >= 18 years with obesity,23.0,25.1,27.3,"6,150"
2011,AZ,Arizona,Obesity,% of adults aged >= 18 years with an overweight classification,35.5,37.8,40.2,"5,981"
2011,AZ,Arizona,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),30.9,33.1,35.3,"5,961"
2011,AZ,Arizona,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),50.4,52.8,55.1,"5,996"
2011,AZ,Arizona,Physical Activity,% of adults with no leisure-time physical activity,22.0,24.1,26.3,"6,197"
2011,AZ,Arizona,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,30.3,32.5,34.8,"6,087"
2011,AZ,Arizona,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.2,24.2,26.3,"5,915"
2011,CA,California,Obesity,% of adults aged >= 18 years with obesity,22.9,23.8,24.7,"17,088"
2011,CA,California,Obesity,% of adults aged >= 18 years with an overweight classification,35.4,36.4,37.4,"17,088"
2011,CA,California,Physical Activity,% of adults with no leisure-time physical activity,18.3,19.1,20.0,"16,927"
2011,CA,California,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.1,36.1,37.2,"16,716"
2011,CA,California,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.1,32.1,33.1,"16,777"
2011,CA,California,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,23.7,24.6,"16,661"
2011,CA,California,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),57.1,58.2,59.2,"16,760"
2011,CO,Colorado,Obesity,% of adults aged >= 18 years with obesity,19.7,20.7,21.8,"12,976"
2011,CO,Colorado,Obesity,% of adults aged >= 18 years with an overweight classification,34.2,35.4,36.7,"12,976"
2011,CO,Colorado,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),39.4,40.7,42.0,"12,262"
2011,CO,Colorado,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,26.1,27.3,28.5,"12,223"
2011,CO,Colorado,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),60.5,61.8,63.1,"12,349"
2011,CO,Colorado,Physical Activity,% of adults with no leisure-time physical activity,15.5,16.5,17.5,"12,800"
2011,CO,Colorado,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,34.4,35.6,36.9,"12,651"
2011,CT,Connecticut,Obesity,% of adults aged >= 18 years with an overweight classification,33.5,35.2,36.8,"6,457"
2011,CT,Connecticut,Obesity,% of adults aged >= 18 years with obesity,23.0,24.5,26.0,"6,457"
2011,CT,Connecticut,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,29.0,30.6,32.3,"6,485"
2011,CT,Connecticut,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),31.2,32.8,34.5,"6,340"
2011,CT,Connecticut,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),50.8,52.6,54.3,"6,376"
2011,CT,Connecticut,Physical Activity,% of adults with no leisure-time physical activity,24.0,25.5,27.1,"6,588"
2011,CT,Connecticut,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,20.3,21.8,23.3,"6,303"
2011,DE,Delaware,Obesity,% of adults aged >= 18 years with an overweight classification,33.0,35.0,37.0,"4,530"
2011,DE,Delaware,Obesity,% of adults aged >= 18 years with obesity,26.9,28.8,30.7,"4,530"
2011,DE,Delaware,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,30.3,32.3,34.4,"4,646"
2011,DE,Delaware,Physical Activity,% of adults with no leisure-time physical activity,25.3,27.0,28.9,"4,728"
2011,DE,Delaware,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),46.4,48.5,50.6,"4,511"
2011,DE,Delaware,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),26.4,28.3,30.3,"4,459"
2011,DE,Delaware,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,19.7,21.5,23.4,"4,441"
2011,FL,Florida,Obesity,% of adults aged >= 18 years with obesity,25.4,26.6,27.9,"11,770"
2011,FL,Florida,Obesity,% of adults aged >= 18 years with an overweight classification,35.3,36.7,38.1,"11,770"
2011,FL,Florida,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),32.3,33.7,35.1,"10,998"
2011,FL,Florida,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,27.8,29.2,30.5,"11,377"
2011,FL,Florida,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),51.4,52.8,54.3,"11,100"
2011,FL,Florida,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,20.2,21.4,22.7,"10,962"
2011,FL,Florida,Physical Activity,% of adults with no leisure-time physical activity,25.6,26.9,28.2,"11,564"
2011,GA,Georgia,Obesity,% of adults aged >= 18 years with obesity,26.6,28.0,29.4,"9,353"
2011,GA,Georgia,Obesity,% of adults aged >= 18 years with an overweight classification,33.2,34.7,36.2,"9,353"
2011,GA,Georgia,Physical Activity,% of adults with no leisure-time physical activity,25.4,26.7,28.1,"9,466"
2011,GA,Georgia,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,19.4,20.7,22.1,"9,008"
2011,GA,Georgia,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,28.7,30.2,31.8,"9,330"
2011,GA,Georgia,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),30.4,31.8,33.3,"9,037"
2011,GA,Georgia,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),49.1,50.7,52.3,"9,107"
2011,HI,Hawaii,Obesity,% of adults aged >= 18 years with an overweight classification,32.2,33.8,35.5,"7,407"
2011,HI,Hawaii,Obesity,% of adults aged >= 18 years with obesity,20.4,21.8,23.4,"7,407"
2011,HI,Hawaii,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),56.7,58.5,60.2,"7,257"
2011,HI,Hawaii,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),36.4,38.1,39.8,"7,236"
2011,HI,Hawaii,Physical Activity,% of adults with no leisure-time physical activity,19.8,21.3,22.8,"7,382"
2011,HI,Hawaii,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.2,23.7,25.3,"7,215"
2011,HI,Hawaii,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,30.5,32.1,33.8,"7,321"
2011,IA,Iowa,Obesity,% of adults aged >= 18 years with an overweight classification,34.4,35.8,37.3,"6,898"
2011,IA,Iowa,Obesity,% of adults aged >= 18 years with obesity,27.6,29.0,30.3,"6,898"
2011,IA,Iowa,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,16.1,17.2,18.5,"6,813"
2011,IA,Iowa,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),46.1,47.6,49.1,"6,863"
2011,IA,Iowa,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),25.6,26.9,28.2,"6,832"
2011,IA,Iowa,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,26.1,27.5,28.9,"6,978"
2011,IA,Iowa,Physical Activity,% of adults with no leisure-time physical activity,24.6,25.9,27.2,"7,036"
2011,ID,Idaho,Obesity,% of adults aged >= 18 years with an overweight classification,33.4,35.2,37.1,"5,739"
2011,ID,Idaho,Obesity,% of adults aged >= 18 years with obesity,25.3,27.0,28.9,"5,739"
2011,ID,Idaho,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,20.7,22.4,24.2,"5,499"
2011,ID,Idaho,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.2,57.2,59.2,"5,566"
2011,ID,Idaho,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,28.4,30.3,32.2,"5,702"
2011,ID,Idaho,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),34.0,35.9,37.9,"5,520"
2011,ID,Idaho,Physical Activity,% of adults with no leisure-time physical activity,19.8,21.4,23.1,"5,784"
2011,IL,Illinois,Obesity,% of adults aged >= 18 years with an overweight classification,35.0,36.9,38.9,"5,355"
2011,IL,Illinois,Obesity,% of adults aged >= 18 years with obesity,25.4,27.1,28.9,"5,355"
2011,IL,Illinois,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,20.2,22.0,23.8,"5,207"
2011,IL,Illinois,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,29.5,31.4,33.4,"5,257"
2011,IL,Illinois,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),49.7,51.7,53.7,"5,233"
2011,IL,Illinois,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),29.3,31.2,33.1,"5,214"
2011,IL,Illinois,Physical Activity,% of adults with no leisure-time physical activity,23.5,25.1,26.9,"5,292"
2011,IN,Indiana,Obesity,% of adults aged >= 18 years with obesity,29.5,30.8,32.3,"8,048"
2011,IN,Indiana,Obesity,% of adults aged >= 18 years with an overweight classification,33.4,34.8,36.2,"8,048"
2011,IN,Indiana,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,16.0,17.3,18.6,"7,553"
2011,IN,Indiana,Physical Activity,% of adults with no leisure-time physical activity,27.9,29.2,30.6,"8,004"
2011,IN,Indiana,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),44.4,46.0,47.5,"7,640"
2011,IN,Indiana,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),26.1,27.5,28.9,"7,579"
2011,IN,Indiana,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,24.6,26.0,27.4,"7,897"
2011,KS,Kansas,Obesity,% of adults aged >= 18 years with obesity,28.7,29.6,30.4,"19,619"
2011,KS,Kansas,Obesity,% of adults aged >= 18 years with an overweight classification,34.0,34.8,35.7,"19,619"
2011,KS,Kansas,Physical Activity,% of adults with no leisure-time physical activity,26.0,26.8,27.6,"20,272"
2011,KS,Kansas,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,15.8,16.5,17.3,"19,585"
2011,KS,Kansas,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),25.6,26.4,27.3,"19,603"
2011,KS,Kansas,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.7,24.5,25.3,"20,144"
2011,KS,Kansas,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),45.8,46.8,47.7,"19,690"
2011,KY,Kentucky,Obesity,% of adults aged >= 18 years with an overweight classification,34.6,36.1,37.6,"10,114"
2011,KY,Kentucky,Obesity,% of adults aged >= 18 years with obesity,28.9,30.4,31.9,"10,114"
2011,KY,Kentucky,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,16.0,17.3,18.7,"9,519"
2011,KY,Kentucky,Physical Activity,% of adults with no leisure-time physical activity,27.9,29.3,30.8,"10,097"
2011,KY,Kentucky,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,24.8,26.3,27.9,"10,006"
2011,KY,Kentucky,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),27.8,29.3,30.8,"9,487"
2011,KY,Kentucky,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),45.2,46.8,48.5,"9,595"
2011,LA,Louisiana,Obesity,% of adults aged >= 18 years with an overweight classification,32.7,34.1,35.6,"10,404"
2011,LA,Louisiana,Obesity,% of adults aged >= 18 years with obesity,32.0,33.4,34.9,"10,404"
2011,LA,Louisiana,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,14.3,15.5,16.8,"10,028"
2011,LA,Louisiana,Physical Activity,% of adults with no leisure-time physical activity,32.4,33.8,35.3,"10,608"
2011,LA,Louisiana,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),24.5,25.9,27.3,"10,047"
2011,LA,Louisiana,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),40.4,42.0,43.5,"10,121"
2011,LA,Louisiana,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,22.6,23.9,25.4,"10,475"
2011,MA,Massachusetts,Obesity,% of adults aged >= 18 years with an overweight classification,35.5,36.6,37.7,"20,532"
2011,MA,Massachusetts,Obesity,% of adults aged >= 18 years with obesity,21.8,22.7,23.7,"20,532"
2011,MA,Massachusetts,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),34.6,35.7,36.8,"19,627"
2011,MA,Massachusetts,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,30.9,32.0,33.1,"20,304"
2011,MA,Massachusetts,Physical Activity,% of adults with no leisure-time physical activity,22.6,23.5,24.5,"20,634"
2011,MA,Massachusetts,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.1,56.3,57.4,"19,779"
2011,MA,Massachusetts,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.3,23.3,24.3,"19,543"
2011,MD,Maryland,Obesity,% of adults aged >= 18 years with obesity,26.9,28.3,29.7,"9,450"
2011,MD,Maryland,Obesity,% of adults aged >= 18 years with an overweight classification,34.6,36.1,37.6,"9,450"
2011,MD,Maryland,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),27.4,28.8,30.3,"9,251"
2011,MD,Maryland,Physical Activity,% of adults with no leisure-time physical activity,24.8,26.2,27.6,"9,684"
2011,MD,Maryland,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),47.1,48.7,50.2,"9,307"
2011,MD,Maryland,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,28.8,30.2,31.7,"9,604"
2011,MD,Maryland,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,18.6,19.8,21.1,"9,239"
2011,ME,Maine,Obesity,% of adults aged >= 18 years with obesity,26.8,27.8,28.9,"12,643"
2011,ME,Maine,Obesity,% of adults aged >= 18 years with an overweight classification,36.1,37.2,38.4,"12,643"
2011,ME,Maine,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.5,56.7,57.9,"12,356"
2011,ME,Maine,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),34.5,35.6,36.8,"12,248"
2011,ME,Maine,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,19.6,20.6,21.6,"12,234"
2011,ME,Maine,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,26.5,27.5,28.6,"12,648"
2011,ME,Maine,Physical Activity,% of adults with no leisure-time physical activity,22.1,23.0,24.0,"12,799"
2011,MI,Michigan,Obesity,% of adults aged >= 18 years with obesity,30.0,31.3,32.6,"10,579"
2011,MI,Michigan,Obesity,% of adults aged >= 18 years with an overweight classification,32.8,34.2,35.5,"10,579"
2011,MI,Michigan,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,27.5,28.8,30.1,"10,670"
2011,MI,Michigan,Physical Activity,% of adults with no leisure-time physical activity,22.4,23.6,24.8,"10,772"
2011,MI,Michigan,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),52.1,53.5,55.0,"10,446"
2011,MI,Michigan,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),32.3,33.6,35.0,"10,384"
2011,MI,Michigan,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,18.6,19.7,20.9,"10,375"
2011,MN,Minnesota,Obesity,% of adults aged >= 18 years with an overweight classification,35.6,36.8,37.9,"14,387"
2011,MN,Minnesota,Obesity,% of adults aged >= 18 years with obesity,24.6,25.7,26.8,"14,387"
2011,MN,Minnesota,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,19.9,20.9,21.9,"14,017"
2011,MN,Minnesota,Physical Activity,% of adults with no leisure-time physical activity,20.9,21.9,22.9,"14,639"
2011,MN,Minnesota,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),52.8,54.0,55.2,"14,167"
2011,MN,Minnesota,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),32.5,33.7,34.9,"14,091"
2011,MN,Minnesota,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,28.5,29.6,30.8,"14,443"
2011,MO,Missouri,Obesity,% of adults aged >= 18 years with an overweight classification,32.9,34.6,36.3,"6,095"
2011,MO,Missouri,Obesity,% of adults aged >= 18 years with obesity,28.6,30.3,32.0,"6,095"
2011,MO,Missouri,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,15.9,17.3,18.8,"5,617"
2011,MO,Missouri,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),47.6,49.5,51.4,"5,664"
2011,MO,Missouri,Physical Activity,% of adults with no leisure-time physical activity,26.8,28.4,30.0,"6,134"
2011,MO,Missouri,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),28.8,30.5,32.3,"5,491"
2011,MO,Missouri,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.1,24.7,26.3,"6,070"
2011,MS,Mississippi,Obesity,% of adults aged >= 18 years with an overweight classification,32.6,34.0,35.4,"8,504"
2011,MS,Mississippi,Obesity,% of adults aged >= 18 years with obesity,33.5,34.9,36.3,"8,504"
2011,MS,Mississippi,Physical Activity,% of adults with no leisure-time physical activity,34.5,36.0,37.4,"8,540"
2011,MS,Mississippi,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),38.5,40.0,41.5,"8,188"
2011,MS,Mississippi,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.4,23.7,25.0,"8,152"
2011,MS,Mississippi,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.1,14.2,15.4,"8,153"
2011,MS,Mississippi,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,22.5,23.9,25.3,"8,485"
2011,MT,Montana,Obesity,% of adults aged >= 18 years with an overweight classification,34.2,35.6,37.1,"9,882"
2011,MT,Montana,Obesity,% of adults aged >= 18 years with obesity,23.3,24.6,26.0,"9,882"
2011,MT,Montana,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),34.5,36.0,37.4,"9,487"
2011,MT,Montana,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),53.8,55.3,56.8,"9,547"
2011,MT,Montana,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,28.8,30.2,31.6,"9,724"
2011,MT,Montana,Physical Activity,% of adults with no leisure-time physical activity,23.1,24.4,25.7,"9,839"
2011,MT,Montana,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,20.6,21.8,23.2,"9,464"
2011,NC,North Carolina,Obesity,% of adults aged >= 18 years with obesity,27.7,29.1,30.6,"10,790"
2011,NC,North Carolina,Obesity,% of adults aged >= 18 years with an overweight classification,34.5,36.0,37.5,"10,790"
2011,NC,North Carolina,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),45.2,46.8,48.3,"10,651"
2011,NC,North Carolina,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,26.3,27.7,29.1,"10,979"
2011,NC,North Carolina,Physical Activity,% of adults with no leisure-time physical activity,25.4,26.7,28.1,"11,130"
2011,NC,North Carolina,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),26.8,28.2,29.6,"10,577"
2011,NC,North Carolina,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,17.1,18.3,19.6,"10,547"
2011,ND,North Dakota,Obesity,% of adults aged >= 18 years with an overweight classification,34.3,36.0,37.7,"4,982"
2011,ND,North Dakota,Obesity,% of adults aged >= 18 years with obesity,26.3,27.8,29.4,"4,982"
2011,ND,North Dakota,Physical Activity,% of adults with no leisure-time physical activity,25.5,27.1,28.7,"5,042"
2011,ND,North Dakota,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),24.5,26.1,27.7,"4,802"
2011,ND,North Dakota,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,25.7,27.4,29.1,"4,974"
2011,ND,North Dakota,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),45.5,47.3,49.2,"4,841"
2011,ND,North Dakota,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,16.5,18.0,19.5,"4,788"
2011,NE,Nebraska,Obesity,% of adults aged >= 18 years with an overweight classification,35.6,36.5,37.4,"24,366"
2011,NE,Nebraska,Obesity,% of adults aged >= 18 years with obesity,27.6,28.4,29.2,"24,366"
2011,NE,Nebraska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,27.3,28.1,29.0,"24,204"
